Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Address,Website,Logo Link (PNG),Origination Date,Blurb,Organic Y/M/N,Made in the USA Y/N,Low Size,High Size,Twitter,Insta,Facebook,Pinterest,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams,Still in Business?,Internal ,Point of Contact,Contact Info
#sen,,No,Yes,,,,,,Maybe,No,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
1+ in the Family,,Yes,Yes,"Ctra. de Rubí, 88 – 08174 Sant Cugat del Vallès (Barcelona) – Spain",http://www.onemoreinthefamily.com/,http://www.onemoreinthefamily.com/,Autum/Winter 2012,1 + IN THE FAMILY is an original collection specifically designed to dress babies from 1 to 36 months old,No,No,1 month,36 months,cannot find,https://instagram.com/onemoreinthefamily/,https://www.facebook.com/pages/1-IN-THE-FAMILY/430838283628210,https://es.pinterest.com/1inthefamily/,,Yes,No,No,No,Yes,Yes,No,,,,
 ,,Yes,Yes,"Retour Online 10 IS
Route des Bois
85130 La Gaubretière
France",https://www.10-is.com/en/,,,"10 IS is a contemporary and urban brand where each piece, made out of the finest materials, is designed to meet the needs of children.",No,No,22 Kid Euro Shoes,34 Kid Euro Shoe,cannot find,http://www.instagram.com/classic10is,https://www.facebook.com/classic10is,cannot find,,Yes,Yes,No,Yes,Yes,No,Yes,,,,
2H Handknits,Yes,Yes,Yes,"2H Handknits
3514 Aster Court
Wilmington, NC 28409 USA",http://2hknits.com/,,1995,"2HKnits is an organic, small family business owned and operated by Todd Berry and Puttachard Tanomrat",Yes,No,1 month,14 years,cannot find,cannot find,cannot find,cannot find,,No,No,Yes,No,Yes,No,No,,,,
3 Marthas and Layette by 3 Marthas,,Yes,Yes,"5521 Maple Avenue
Dallas, TX 75235, USA",https://www.3marthas.com/,,1988,"3 Marthas was established in 1988 with a vision of providing charming, timeless baby products that are made with the highest quality materials and precise attention to detail.",No,Yes,Newborn ,18 pounds,#N/A,#N/A,#N/A,#N/A,,No,No,No,No,Yes,Yes,No,,,,
3 Pommes,,Yes,Yes,17 rue Martel 75010 Paris,http://www.3pommes.com/en/,,1977,3 Pommes is playful and easy to wear ,No,No,0 Months,12 years,http://twitter.com/3pommes_fashion,http://instagram.com/3pommes_collection,https://www.facebook.com/vetements.3pommes,https://www.pinterest.com/3pommes/,,Yes,Yes,No,Yes,Yes,Yes,No,,,,
4FunkyFlavours,,Yes,Yes,"Looyenbeemd 12 
5652 BH Eindhoven
The Netherlands",https://www.4funkyflavours.eu/en/,,2009,"The power of 4funkyflavours lies in the whole company's team spirit and dedication to keep developing and growing, both creatively and commercially.",No,No,Newborn,Adult,https://twitter.com/4funkyflavours,https://instagram.com/4funkyflavours,https://www.facebook.com/4funkyflavoursofficial,https://www.pinterest.com/4funkyflavours,,Yes,Yes,No,Yes,No,No,No,Yes,,,
6 Sticks,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
7 AM Enfant,Yes,Yes,Yes,"150 Beekman Street #2 New York, NY 10038 USA",https://7amenfant.com/,,2002,"7AM is all about designing safe, modern products for children",Yes,Yes,0 Months,0 Months,https://twitter.com/7AMenfant,https://www.instagram.com/7amenfant/,https://www.facebook.com/7AMENFANT,https://www.pinterest.com/7AMenfant/,,Yes,No,Yes,No,Yes,No,No,,,,
7 for All Mankind,,Yes,Yes,"777 South Alameda Street, Building 1, 4th Floor, Los Angeles, CA 90021",http://www.7forallmankind.com/kids/l/53,,2000,"orn in Los Angeles, California, 7 For All Mankind was the first company to bring premium denim to scale, putting L.A. on the map as the fashion authority of the west coast staple.",No,No,2 Year,Adult,https://twitter.com/7fam,https://www.instagram.com/7ForAllMankind/,https://www.facebook.com/7ForAllMankind,https://www.pinterest.com/7forallmankind,,Yes,No,No,No,No,No,No,,,,
