1,Yes,4,2.21,39.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,4,50,70,2018-02-28 19:59:49.418,2018-02-28 19:59:49.418,1,1,2,6,189,2,2,\N,2,17,\N,\N,\N,\N,\N,\N,\N,\N,2,5,\N,\N
4,Yes,4,2.21,55.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,Yes,4,50,110,2018-02-28 20:07:34.484,2018-02-28 20:07:34.484,1,1,2,6,224,2,2,\N,2,14,3,\N,\N,\N,\N,\N,3,\N,\N,\N,\N,\N
7,Yes,2,2.21,90.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,Yes,3,50,110,2018-02-28 20:34:43.272,2018-02-28 20:34:43.272,1,2,2,8,224,2,2,\N,2,14,6,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N
8,Yes,4,2.21,78.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,4,40,70,2018-02-28 20:49:25.092,2018-04-03 18:31:43.402,1,1,1,6,189,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,BP10001
9,Yes,3,2.21,-1.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,4,40,60,2018-02-28 21:09:33.318,2018-02-28 21:09:33.318,1,1,3,6,227,2,2,\N,2,14,2,\N,\N,\N,\N,\N,3,\N,\N,\N,\N,\N
10,Yes,4,2.21,118.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,Yes,3,50,90,2018-02-28 21:12:18.693,2018-02-28 21:12:18.693,1,1,2,7,225,2,2,\N,2,14,4,\N,\N,\N,\N,\N,7,\N,\N,\N,\N,2020211
11,Yes,4,2.21,119.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,3,50,90,2018-02-28 21:13:11.992,2018-02-28 21:13:11.992,1,1,2,7,226,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
13,N/A,4,00.00,32.00,Luxaby close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,3,60,110,2018-03-02 19:21:28.550,2018-03-02 19:21:28.550,2,3,1,8,223,2,2,\N,5,5,\N,\N,14,\N,\N,\N,\N,\N,\N,\N,2,510661
14,N/A,3,00.00,-1.00,Luxaby close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,4,50,90,2018-03-02 20:28:53.096,2018-03-02 20:28:53.096,3,9,1,8,228,2,8,\N,5,9,\N,\N,3,\N,\N,\N,\N,\N,\N,\N,4,N15/11W22
15,N/A,2,2.21,-1.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,4,60,110,2018-03-02 20:39:21.118,2018-03-02 20:39:21.118,1,1,1,9,189,2,2,\N,2,5,\N,\N,14,\N,\N,\N,\N,\N,\N,\N,2,\N
16,Yes,4,2.21,-1.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,3,60,110,2018-03-02 21:36:42.450,2018-03-02 21:36:42.450,1,1,1,7,223,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
17,Yes,4,2.21,-1.00,A&I close out,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,3,60,110,2018-03-02 22:03:58.823,2018-03-02 22:03:58.823,1,1,1,8,223,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
18,Yes,3,00.00,96.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,2,70,110,2018-03-05 19:06:09.564,2018-03-05 19:06:09.564,1,1,2,8,223,2,2,\N,2,17,\N,\N,\N,\N,\N,\N,\N,\N,2,3,\N,\N
19,No,3,00.00,-1.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,3,90,110,2018-03-05 19:30:03.277,2018-03-05 19:30:03.277,1,1,1,8,112,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
20,No,3,00.00,107.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,No,2,80,100,2018-03-05 19:37:03.830,2018-03-05 19:37:03.830,1,1,1,8,112,2,2,\N,2,14,3,\N,\N,\N,\N,\N,7,\N,\N,\N,\N,10002
21,No,2,00.00,107.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,90,110,2018-03-05 20:20:24.615,2018-03-05 20:20:24.615,1,1,3,8,229,2,10,\N,2,8,\N,\N,3,\N,\N,\N,\N,\N,\N,\N,1,\N
22,N/A,3,00.00,75.00,A&I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,4,40,60,2018-03-05 21:11:59.083,2018-03-05 21:11:59.083,1,1,2,8,223,2,2,\N,2,6,\N,\N,8,\N,\N,\N,\N,\N,\N,\N,4,K10000
23,No,5,2.21,100.00,Anais and I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-07 17:28:29.925,2018-03-07 17:28:29.925,1,1,3,7,230,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
24,No,5,2.21,64.00,Anais and I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,110,2018-03-07 17:50:15.020,2018-03-07 17:50:15.020,1,1,3,7,227,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
25,Yes,4,2.21,100.00,Anais & I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,4,0,80,2018-03-07 18:04:34.546,2018-03-07 18:04:34.546,1,1,1,7,223,2,2,\N,2,14,3,\N,\N,\N,\N,\N,8,\N,\N,\N,\N,\N
26,N/A,2,2.21,99.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Yes,\N,\N,2,40,80,2018-03-07 18:36:43.211,2018-03-07 18:36:43.211,1,1,3,8,223,2,2,\N,2,1,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,4,\N
27,Yes,2,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,No,\N,3,60,80,2018-03-07 19:19:58.713,2018-03-07 19:19:58.713,1,1,3,9,231,2,2,\N,2,24,\N,20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
28,Yes,5,00.00,30.00,Luxaby,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-07 19:28:11.124,2018-03-07 19:28:11.124,2,1,3,10,223,2,2,\N,5,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
29,Yes,5,00.00,78.00,Luxaby,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-07 19:45:58.100,2018-03-07 19:45:58.100,4,11,2,11,223,2,8,\N,5,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
30,Yes,2,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-07 20:27:30.514,2018-03-07 20:27:30.514,1,1,2,7,17,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2039211
31,No,5,2.21,100.00,Anais and I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,0,80,2018-03-07 20:32:39.826,2018-03-07 20:32:39.826,1,1,3,12,223,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
32,No,5,2.21,100.00,Anais and I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,0,80,2018-03-07 20:37:36.590,2018-03-07 20:37:36.590,1,1,3,7,223,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
33,Yes,2,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-07 20:52:17.125,2018-03-07 20:52:17.125,1,1,2,7,17,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
34,Yes,2,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-07 20:59:03.719,2018-03-07 20:59:03.719,1,1,2,13,14,9,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
35,Yes,3,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,90,2018-03-07 21:09:18.794,2018-03-07 21:09:18.794,1,1,2,8,232,8,9,\N,2,14,6,\N,\N,\N,\N,\N,2,\N,\N,\N,\N,\N
36,No,5,2.21,100.00,Anais and I,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,60,110,2018-03-07 21:09:32.939,2018-03-07 21:09:32.939,1,1,3,7,223,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
37,Yes,2,2.21,99.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,90,2018-03-07 21:23:14.015,2018-03-07 21:23:14.015,1,1,2,8,232,8,9,\N,2,18,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
38,Yes,2,2.21,99.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,No,\N,2,70,110,2018-03-07 21:47:18.721,2018-03-07 21:47:18.721,1,1,2,8,232,9,9,\N,2,24,\N,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
39,Yes,2,2.21,79.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-07 21:54:27.487,2018-03-07 21:54:27.487,1,1,2,8,232,8,10,\N,2,19,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
40,No,5,2.21,100.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-07 22:14:02.548,2018-03-07 22:14:02.548,1,1,3,12,223,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,6000
41,Yes,2,2.21,69.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,3,70,90,2018-03-07 22:17:25.025,2018-03-07 22:17:25.025,1,1,2,8,74,2,2,\N,2,14,6,\N,\N,\N,\N,\N,2,\N,\N,\N,\N,\N
42,N/A,1,2.21,59.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-07 22:24:07.395,2018-03-07 22:24:07.395,1,1,2,8,233,2,10,\N,2,1,\N,\N,3,\N,\N,\N,\N,\N,\N,\N,1,\N
43,Yes,2,2.21,89.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,100,2018-03-07 22:27:05.845,2018-03-07 22:27:05.845,1,1,2,8,233,2,10,\N,2,14,6,\N,\N,\N,\N,\N,2,\N,\N,\N,\N,\N
44,N/A,2,2.21,59.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,110,2018-03-07 22:51:55.318,2018-03-07 22:51:55.318,1,1,1,8,24,2,10,\N,2,2,\N,\N,14,\N,\N,\N,\N,\N,\N,\N,2,1045511
47,N/A,2,2.21,49.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,3,60,110,2018-03-07 23:07:31.026,2018-03-07 23:07:31.026,1,1,3,8,97,2,2,\N,2,9,\N,\N,3,\N,\N,\N,\N,\N,\N,\N,2,1047511
48,N/A,3,2.21,89.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,No,\N,3,50,80,2018-03-07 23:21:06.189,2018-03-07 23:21:06.189,1,1,2,14,237,2,2,\N,2,24,\N,20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
49,N/A,2,2.21,69.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,80,2018-03-07 23:26:25.269,2018-03-07 23:26:25.269,1,1,3,8,227,2,10,\N,2,2,\N,\N,14,\N,\N,\N,\N,\N,\N,\N,4,\N
50,N/A,2,2.21,59.00,Anais & I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,60,90,2018-03-07 23:28:53.063,2018-03-07 23:28:53.063,1,1,1,8,227,2,2,\N,2,5,\N,\N,14,\N,\N,\N,\N,\N,\N,\N,2,\N
52,N/A,2,2.21,98.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,No,\N,3,60,110,2018-03-08 16:15:19.815,2018-03-08 16:15:19.815,1,1,2,8,223,2,2,\N,2,24,\N,5,\N,\N,\N,\N,\N,\N,\N,\N,\N,3043211
55,No,2,2.21,68.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,3,70,110,2018-03-08 20:59:31.885,2018-03-08 20:59:31.885,1,1,2,8,238,2,2,\N,2,1,\N,\N,4,\N,\N,\N,\N,\N,\N,\N,1,1049411
56,Yes,5,2.21,84.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-09 15:11:31.440,2018-03-09 15:11:31.440,1,1,3,7,230,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
57,Yes,5,2.21,84.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-09 15:15:21.790,2018-03-09 15:15:21.790,1,1,2,7,223,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
58,Yes,5,2.21,84.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,70,110,2018-03-09 15:19:26.579,2018-03-09 15:19:26.579,1,1,2,7,230,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
59,Yes,5,2.21,98.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,2,0,80,2018-03-09 16:47:10.846,2018-03-09 16:47:10.846,1,1,3,7,230,2,2,\N,2,14,2,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
60,Yes,5,2.21,64.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,70,110,2018-03-09 16:55:06.915,2018-03-09 16:55:06.915,1,1,2,7,230,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,2,\N,\N,\N,\N
61,Yes,3,2.21,68.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,3,70,110,2018-03-09 17:04:37.996,2018-03-09 17:04:37.996,1,1,3,15,223,2,2,\N,2,15,\N,\N,\N,\N,\N,\N,\N,3,\N,\N,\N,\N
62,Yes,5,2.21,98.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,70,2018-03-09 17:11:18.689,2018-03-09 17:11:18.689,1,1,3,7,230,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
63,Yes,5,2.21,98.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-09 17:22:46.565,2018-03-09 17:22:46.565,1,1,2,7,230,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
64,Yes,5,2.21,98.00,Anais and I Closeout,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,No,\N,\N,1,0,80,2018-03-09 17:27:17.957,2018-03-09 17:27:17.957,1,1,3,7,230,2,2,\N,2,14,3,\N,\N,\N,\N,\N,6,\N,\N,\N,\N,\N
