Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Organic Y/M/N,Made in the USA Y/N,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams
1+ in the Family,0,1,1,-1,-1,3,1,-1,-1,-1,1,1,-1
 ,0,1,1,-1,-1,3,1,1,-1,1,1,-1,1
2H Handknits,1,1,1,1,-1,3,-1,-1,1,-1,1,-1,-1
3 Marthas and Layette by 3 Marthas,0,1,1,-1,1,3,-1,-1,-1,-1,1,1,-1
3 Pommes,0,1,1,-1,-1,3,1,1,-1,1,1,1,-1
4FunkyFlavours,0,1,1,-1,-1,3,1,1,-1,1,-1,-1,-1
6 Sticks,0,0,0,0,0,3,0,0,0,0,0,0,0
7 AM Enfant,1,1,1,1,1,3,1,-1,1,-1,1,-1,-1
7 for All Mankind,0,1,1,-1,-1,3,1,-1,-1,-1,-1,-1,-1
98 Coast Av. USA,0,1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,1
A Bit of Honey,1,1,1,-1,-1,3,1,1,-1,-1,1,-1,1
A for Apple,0,1,1,1,-1,4,1,1,1,-1,1,-1,-1
A Little Pocket,0,1,1,-1,-1,2,1,-1,-1,-1,-1,-1,-1
A. Gold E,0,-1,-1,0,0,3,0,0,0,0,0,0,0
A.Bird,0,1,1,-1,1,2,1,1,-1,-1,1,-1,-1
A076,0,1,1,-1,-1,4,1,1,-1,-1,1,-1,1
Aaiko,0,-1,1,-1,-1,4,1,1,-1,-1,1,-1,1
Aarrekid,0,1,1,-1,-1,4,1,1,-1,-1,1,1,1
Aarya London (Backpacks),1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1
AB Showrooms,1,1,1,0,-1,3,1,1,1,-1,1,1,1
Abandon Ship Clothing,0,0,0,0,0,3,0,0,0,0,0,0,0
Absorba,0,1,1,-1,-1,3,1,1,-1,-1,1,1,-1
acbc,0,1,1,-1,-1,4,1,1,-1,1,-1,-1,1
Accessories by Adriana,0,0,0,0,0,3,0,0,0,0,0,0,0
Accessories by Truly Whimsical,0,0,0,0,0,3,0,0,0,0,0,0,0
acebo's (shoes),1,-1,-1,-1,-1,3,0,0,0,0,0,0,0
Acne Studios,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Acvisa Co.,0,0,0,0,0,3,0,0,0,0,0,0,0
Aden & Anais,0,1,1,-1,-1,2,-1,-1,-1,-1,-1,1,-1
Adidas,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,1
Adriana Mae by innova baby,0,0,0,0,0,3,0,0,0,0,0,0,0
AG Kids Adriano Goldschmied,0,1,1,-1,-1,4,-1,1,-1,-1,-1,-1,-1
Agatha Cub,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,-1
Agatha Ruiz De La Prada,0,1,1,-1,-1,4,1,1,-1,-1,-1,-1,-1
aghi e bubi,0,1,1,-1,-1,3,-1,1,-1,-1,-1,-1,-1
Aguaclara Girls</div>,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Aigle,1,1,1,-1,-1,4,-1,1,-1,-1,-1,-1,-1
Aimama</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Aisabobo</div>,0,1,1,-1,-1,4,-1,-1,-1,-1,1,-1,-1
Akid,1,-1,-1,-1,-1,4,0,0,0,0,0,0,0
Akido kids,1,-1,-1,1,-1,3,0,0,0,0,0,0,0
Alba Baby,0,1,1,-1,-1,3,1,1,-1,1,-1,-1,-1
Albetta,0,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1
Album Di Famiglia,0,1,1,-1,-1,4,-1,-1,-1,-1,1,-1,-1
Alfie Children's Apparel,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,-1
Ali's Market,0,1,1,-1,1,3,1,1,-1,-1,1,1,1
alisette by b,0,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1
Alitsa,0,-1,1,-1,-1,3,1,1,-1,-1,1,-1,-1
alohaloha,0,1,1,-1,-1,1,1,1,-1,-1,1,1,-1
Alphabet Soup,0,1,1,-1,-1,2,1,1,-1,1,-1,1,1
Alviso,0,0,0,0,0,3,0,0,0,0,0,0,0
Amaia Kids,0,1,1,-1,-1,2,1,1,-1,-1,1,-1,-1
Ambajam,0,0,0,0,0,3,0,0,0,0,0,0,0
Amelia Milano,-1,1,1,-1,-1,5,1,1,1,-1,1,-1,-1
Amelie et Sophie,0,-1,1,-1,-1,4,1,-1,-1,-1,1,-1,-1
American Apparel,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1
American Jewel</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
American Vintage,0,0,0,0,0,3,0,0,0,0,0,0,0
American Widgeon</div>,0,1,1,-1,-1,2,-1,-1,-1,-1,1,1,1
Ami Amie,0,1,1,-1,-1,2,1,1,-1,-1,1,-1,-1
Amiana,1,0,0,-1,-1,3,0,0,0,0,0,0,0
Amiki,0,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1
Ammehoela (Added 4/26),0,0,0,0,0,3,0,0,0,0,0,0,0
Amour Bows</div>,-1,-1,1,-1,-1,4,-1,-1,-1,-1,1,-1,-1
Amplified Kids,-1,1,1,-1,-1,3,-1,-1,1,-1,-1,-1,1
Anais & I,0,1,1,-1,-1,3,0,0,0,0,0,0,0
