User #,Brand ID,Fit Rating,Style Rating,Comments
4,1,2,4,Everything else was too big for noah
4,2,2,2,Doesnt wear button downs
4,2,2,2,Doesn't really like collars
4,2,2,3,"Style was good, but poor fit"
4,3,2,3,
4,3,2,4,
4,4,2,4,
4,4,5,5,fits well
5,5,4,5,Fits her well and she loves the style
5,6,5,5,Very nice dress
5,7,N/A,N/A,Didnt get to wear
5,8,5,5,Love the shorts
5,9,4,4,cute
5,10,5,5,Very pretty and fits good
5,11,5,5,Loved the dress was soft and comfortable
10,1,,,
10,1,,,
10,2,,,
10,3,,,
10,3,,,
10,3,,,
10,4,,,
10,12,,,
11,13,4,5,Would put him in this a lot in the fall
11,3,3,5,Like these a lot. Would be great in the winter a size up
11,3,5,5,Very cool polo. Loved the color and trim details
11,3,1,4,Growth spurt and he doesn't fit 4T bottoms anymore. Great weight though
11,3,3,5,Love the vneck! Great neckline on this shirt. A little too tight on him
11,14,5,2,Love white on him but dont trust him to keep it clean.
11,4,1,3,"Cute, but very very short, and too tight"
11,1,1,3,"Too tight, but love the color and softness."
12,15,3,5,"So light and soft, she loved tthis for bedtime"
12,10,5,4,Very cute. Great with her dresses
12,16,4,4,She wore it once and the 2nd time it felt too short
12,15,1,5,"She was too long to fit in it, but it was very light and soft"
12,4,1,3,"Too small, but great colors and we love polka dots"
12,16,2,5,"Fit more like a diaper cover than shorts, but very cute"
14,1,5,5,Not seasonally appropriate
14,17,,,
14,13,4,3,Slightly short. Not seasonably appropriate
14,3,5,5,"Love this, but not great for summer"
14,3,5,5,Not seasonally appropriate
14,3,5,4,
14,3,5,5,
14,10,1,1,Very small
15,3,5,5,"Very cute, but not paired with this top, they get completely covered"
15,4,5,5,Too hot for this
15,4,5,5,Dont care for the pairing. Not seasonally appropriate
15,10,5,5,"Love it as a dress, not great for hot weather"
15,10,5,5,Not seasonally appropriate
15,10,1,5,Very big
15,18,1,3,Not my taste
16,19,5,5,
16,20,5,3,Dont like the pairing
16,20,5,5,
16,22,5,5,
16,21,4,5,
16,2,5,1,"Too big, not seasonally appropriate"
19,3,,,
19,4,,,
19,4,,,
19,10,,,
19,10,,,
19,10,,,
20,2,,,
20,2,,,
20,3,,,
20,3,,,
20,4,,,
20,4,,,
20,4,,,
20,10,,,
21,22,3,5,Pants were too big for Tommy
21,2,2,5,Pants were too big for Tommy
21,4,5,5,I think this is a girl shirt
21,4,5,5,
21,4,5,5,Adorable
21,4,5,5,Would be great if came with sunshirt
21,10,5,5,"Too hot to wear, but would definitely use this outfit come the holidays"
21,10,5,5,So cute
22,22,5,5,Love the graphic tees. Tommy likes certain shirts better if they have a cool picture
22,3,2,5,Too big for Joey
22,23,5,5,Love this!
22,15,5,5,
22,4,5,5,"Adorable!!! Too hot while we had clothes to wear, but would love in fall"
22,4,5,5,"Loved these, would also love a matching sunshirt"
25,3,,,
25,4,,,
25,4,,,
25,4,,,
25,10,,,
25,10,,,
25,10,,,
26,1,1,5,Liked it. Too big. And it's not for sumemr
26,7,5,5,Loved this and will send pictures
26,2,1,5,"Too big, Not for summer"
26,24,1,5,Loved it. Too big. Not for summer
26,4,1,1,Don't like wide leg pants
26,10,4,4,To hot to wear long sleeve PJs. Liked it
26,18,5,2,A bit to fancy everday and we don't have anything to wear it with righ now
28,25,1,3,Shorts too big :(
28,23,5,4,Polo fit well!
28,16,3,3,Nice shirt!
28,10,5,5,Loved! So soft and comforable. Sizing was right.
28,10,1,1,Not the best style for us. Prefer soft fabrics. Also was too big
28,18,1,1,Way too big. White not good as they are messy eaters leading to lots of scrubbing for laundry
29,25,5,5,love the polo! very comfortable!
29,3,4,5,Love this dress! Would have loved a coordinating one for paige too :)
29,24,1,3,Unfortunately too big and not the correct season for long sleeves
29,10,5,5,Love these pajamas! Very comfortable and soft materials.
29,10,1,5,Love the shorts but they were too big :(
29,18,1,1,White is a difficult color for us because it is hard to keep clean. Unfortunately was too big.
31,4,,,
31,4,,,
31,4,,,
31,4,,,
31,10,,,
31,10,,,
31,10,,,
32,22,,,
32,2,,,
32,13,,,
32,3,,,
32,3,,,
32,3,,,
32,4,,,
32,10,,,
33,2,1,3,"He needs 1-2 sizes up, very tall for age"
33,13,1,3,"No occasions to wear, in camp all day"
33,3,1,3,
33,3,1,3,
33,10,1,3,
33,10,1,3,
33,26,1,3,
34,4,3,3,
34,10,3,3,Cuter but not our style
