userID ItemID FitRate StyleRate
1 58 2 5 
2 75 5 1 
2 61 3 3 
2 17 5 3 
3 8 5 2 
3 22 2 1 
3 23 5 5 
3 64 3 5 
4 76 3 5 
4 33 1 1 
5 44 5 5 
5 89 1 2 
5 83 3 5 
6 89 1 2 
6 4 3 4 
6 24 5 3 
6 1 5 5 
7 57 3 3 
8 8 2 4 
8 37 1 1 
8 74 4 5 
8 82 4 1 
9 75 1 2 
9 67 1 5 
9 76 4 2 
9 46 3 1 
10 61 5 1 
10 86 5 4 
11 71 1 4 
11 95 3 3 
12 26 3 2 
12 48 5 3 
13 68 3 3 
13 39 1 3 
13 2 1 1 
13 61 2 3 
13 22 5 4 
14 37 4 5 
15 58 3 2 
15 17 5 3 
15 57 1 4 
15 95 1 3 
15 82 5 5 
16 40 2 2 
16 3 3 1 
16 57 5 1 
16 42 3 3 
16 76 1 1 
17 47 4 5 
17 78 5 2 
18 7 4 1 
18 100 3 5 
18 45 1 1 
18 35 2 4 
19 51 4 5 
20 1 5 5 
20 63 5 2 
20 8 4 3 
20 8 3 2 
20 86 3 5 
21 94 4 5 
22 9 5 5 
23 37 4 2 
23 52 1 1 
24 51 1 5 
24 78 3 3 
24 82 5 5 
25 22 4 1 
25 9 3 3 
25 28 5 2 
26 36 5 2 
26 10 2 4 
26 79 4 2 
27 52 4 5 
28 20 5 1 
28 24 5 1 
28 83 4 1 
29 30 5 2 
29 1 1 1 
30 52 1 5 
30 78 1 5 
30 88 5 4 
30 73 3 5 
31 37 2 3 
31 13 5 4 
31 57 1 5 
31 73 5 1 
31 66 2 5 
32 4 1 2 
32 70 2 5 
33 52 2 5 
34 7 3 1 
35 54 1 4 
35 8 3 3 
35 100 2 5 
35 14 5 1 
35 89 2 2 
36 72 4 4 
36 97 5 2 
37 55 2 5 
38 1 4 4 
38 31 2 4 
38 70 2 1 
38 1 3 5 
39 72 4 2 
39 75 1 2 
39 65 3 2 
40 26 5 2 
40 76 1 1 
40 66 1 3 
41 98 5 1 
41 77 4 2 
41 79 2 4 
42 82 2 4 
42 38 1 5 
43 5 2 1 
44 76 5 5 
45 98 2 3 
45 79 3 4 
45 70 5 2 
46 77 1 1 
46 9 5 4 
47 9 5 5 
47 37 2 2 
48 61 3 2 
48 23 5 5 
48 59 5 4 
48 84 4 3 
48 79 3 2 
49 73 3 3 
49 23 5 5 
49 90 5 1 
49 66 2 3 
49 2 5 4 
50 18 4 4 
51 49 4 2 
51 0 5 3 
51 46 2 3 
51 51 3 4 
52 69 5 4 
52 52 4 4 
52 41 1 5 
52 88 4 3 
53 35 3 4 
53 29 4 3 
53 17 2 3 
53 56 3 1 
54 10 4 1 
54 69 4 2 
54 89 5 3 
54 93 1 3 
54 34 3 5 
55 40 1 3 
55 90 2 1 
55 14 4 3 
55 22 3 1 
56 91 5 5 
56 62 3 4 
56 4 5 1 
56 38 3 3 
56 45 5 2 
57 65 2 4 
57 7 3 2 
57 50 1 1 
57 51 1 1 
58 6 4 3 
58 26 5 5 
58 28 4 4 
59 0 5 1 
59 50 2 5 
59 93 3 5 
60 88 3 3 
60 10 1 1 
60 40 1 2 
61 45 4 1 
61 52 5 2 
61 34 3 5 
62 3 1 4 
62 73 1 4 
63 40 1 2 
63 20 1 5 
63 18 2 1 
64 5 2 5 
65 33 4 1 
65 52 5 5 
65 38 2 4 
66 76 5 1 
66 86 2 1 
66 87 5 5 
66 98 5 4 
66 11 4 1 
67 24 1 1 
67 79 4 4 
67 9 1 1 
68 39 2 1 
69 70 1 1 
69 38 5 2 
70 2 3 2 
70 84 1 1 
70 37 5 2 
70 68 4 3 
70 99 2 1 
71 7 5 2 
71 65 1 1 
72 52 5 1 
72 8 1 1 
72 25 3 4 
73 49 1 2 
73 25 1 5 
73 44 1 2 
73 8 3 1 
74 47 3 1 
75 92 1 1 
75 5 3 3 
75 55 1 3 
75 88 3 5 
76 9 2 1 
77 70 3 2 
77 20 2 4 
77 30 5 3 
78 48 3 5 
78 5 4 5 
78 9 4 5 
78 95 4 5 
78 38 3 5 
79 84 3 4 
79 7 1 1 
79 91 1 1 
79 32 5 1 
79 17 4 2 
80 82 3 3 
80 94 2 5 
80 56 4 1 
81 7 5 1 
81 97 3 5 
81 95 5 2 
81 14 4 3 
82 68 2 3 
82 18 4 4 
82 64 5 4 
83 2 2 1 
83 22 2 1 
84 80 1 2 
84 94 3 2 
84 80 3 4 
84 19 3 4 
84 13 4 5 
